idn,type,src,dst,period,error,cktElement,cktTerminal,cktPhase,cktProperty
1,phasor,1,1,10,0.0001667,line.1-2,BUS1,PHASE_123,None
2,phasor,2,1,10,0.0001667,line.1-2,BUS2,PHASE_123,None
3,phasor,3,1,10,0.0001667,line.2-3,BUS2,PHASE_123,None
4,phasor,4,1,10,0.0001667,line.3-4,BUS2,PHASE_123,None
5,phasor,5,1,10,0.0001667,line.4-5,BUS2,PHASE_123,None
6,phasor,6,1,10,0.0001667,line.5-6,BUS2,PHASE_123,None
7,phasor,7,1,10,0.0001667,line.6-7,BUS2,PHASE_123,None
8,phasor,8,1,10,0.0001667,line.7-8,BUS2,PHASE_123,None
9,phasor,9,1,10,0.0001667,line.8-9,BUS2,PHASE_123,None
10,phasor,10,1,10,0.0001667,line.9-10,BUS2,PHASE_123,None
11,phasor,11,1,10,0.0001667,line.10-11,BUS2,PHASE_123,None
12,phasor,12,1,10,0.0001667,line.11-12,BUS2,PHASE_123,None
13,phasor,13,1,10,0.0001667,line.12-13,BUS2,PHASE_123,None
14,phasor,14,1,10,0.0001667,line.13-14,BUS2,PHASE_123,None
15,phasor,15,1,10,0.0001667,line.14-15,BUS2,PHASE_123,None
16,phasor,16,1,10,0.0001667,line.15-16,BUS2,PHASE_123,None
17,phasor,17,1,10,0.0001667,line.16-17,BUS2,PHASE_123,None
18,phasor,18,1,10,0.0001667,line.17-18,BUS2,PHASE_123,None
19,phasor,19,1,10,0.0001667,line.2-19,BUS2,PHASE_123,None
20,phasor,20,1,10,0.0001667,line.19-20,BUS2,PHASE_123,None
21,phasor,21,1,10,0.0001667,line.20-21,BUS2,PHASE_123,None
22,phasor,22,1,10,0.0001667,line.21-22,BUS2,PHASE_123,None
23,phasor,23,1,10,0.0001667,line.3-23,BUS2,PHASE_123,None
24,phasor,24,1,10,0.0001667,line.23-24,BUS2,PHASE_123,None
25,phasor,25,1,10,0.0001667,line.24-25,BUS2,PHASE_123,None
26,phasor,26,1,10,0.0001667,line.6-26,BUS2,PHASE_123,None
27,phasor,27,1,10,0.0001667,line.26-27,BUS2,PHASE_123,None
28,phasor,28,1,10,0.0001667,line.27-28,BUS2,PHASE_123,None
29,phasor,29,1,10,0.0001667,line.28-29,BUS2,PHASE_123,None
30,phasor,30,1,10,0.0001667,line.29-30,BUS2,PHASE_123,None
31,phasor,31,1,10,0.0001667,line.30-31,BUS2,PHASE_123,None
32,phasor,32,1,10,0.0001667,line.31-32,BUS2,PHASE_123,None
33,phasor,33,1,10,0.0001667,line.32-33,BUS2,PHASE_123,None
100010,smartmeter,1,1,30,0.0001667,line.1-2,BUS1,PHASE_123,None
100021,smartmeter,2,1,10,0.0001667,Load.2.1,BUS1,PHASE_1,None
100022,smartmeter,2,1,10,0.0001667,Load.2.2,BUS1,PHASE_2,None
100023,smartmeter,2,1,10,0.0001667,Load.2.3,BUS1,PHASE_3,None
100031,smartmeter,3,1,10,0.0001667,Load.3.1,BUS1,PHASE_1,None
100032,smartmeter,3,1,10,0.0001667,Load.3.2,BUS1,PHASE_2,None
100033,smartmeter,3,1,10,0.0001667,Load.3.3,BUS1,PHASE_3,None
100041,smartmeter,4,1,10,0.0001667,Load.4.1,BUS1,PHASE_1,None
100042,smartmeter,4,1,10,0.0001667,Load.4.2,BUS1,PHASE_2,None
100043,smartmeter,4,1,10,0.0001667,Load.4.3,BUS1,PHASE_3,None
100051,smartmeter,5,1,10,0.0001667,Load.5.1,BUS1,PHASE_1,None
100052,smartmeter,5,1,10,0.0001667,Load.5.2,BUS1,PHASE_2,None
100053,smartmeter,5,1,10,0.0001667,Load.5.3,BUS1,PHASE_3,None
100061,smartmeter,6,1,10,0.0001667,Load.6.1,BUS1,PHASE_1,None
100062,smartmeter,6,1,10,0.0001667,Load.6.2,BUS1,PHASE_2,None
100063,smartmeter,6,1,10,0.0001667,Load.6.3,BUS1,PHASE_3,None
100071,smartmeter,7,1,10,0.0001667,Load.7.1,BUS1,PHASE_1,None
100072,smartmeter,7,1,10,0.0001667,Load.7.2,BUS1,PHASE_2,None
100073,smartmeter,7,1,10,0.0001667,Load.7.3,BUS1,PHASE_3,None
100081,smartmeter,8,1,10,0.0001667,Load.8.1,BUS1,PHASE_1,None
100082,smartmeter,8,1,10,0.0001667,Load.8.2,BUS1,PHASE_2,None
100083,smartmeter,8,1,10,0.0001667,Load.8.3,BUS1,PHASE_3,None
100091,smartmeter,9,1,10,0.0001667,Load.9.1,BUS1,PHASE_1,None
100092,smartmeter,9,1,10,0.0001667,Load.9.2,BUS1,PHASE_2,None
