idn,type,src,dst,period,error,cktElement,cktTerminal,cktPhase,cktProperty
001,phasor,1,1,100,0.0001667,line.1-2,BUS1,PHASE_123,None
0033,phasor,33,1,100,0.0001667,line.32-33,BUS2,PHASE_123,None
0033056,smartmeter,33056,1,100,0.0001667,Load.33056.1,BUS1,PHASE_1,None
0033057,smartmeter,33057,1,100,0.0001667,Load.33057.2,BUS1,PHASE_2,None
0033058,smartmeter,33058,1,100,0.0001667,Load.33058.1,BUS1,PHASE_1,None
0033059,smartmeter,33059,1,100,0.0001667,Load.33059.1,BUS1,PHASE_1,None
0033060,smartmeter,33060,1,100,0.0001667,Load.33060.1,BUS1,PHASE_1,None
0033061,smartmeter,33061,1,100,0.0001667,Load.33061.2,BUS1,PHASE_2,None
0033062,smartmeter,33062,1,100,0.0001667,Load.33062.2,BUS1,PHASE_2,None
0033063,smartmeter,33063,1,100,0.0001667,Load.33063.3,BUS1,PHASE_3,None
0033064,smartmeter,33064,1,100,0.0001667,Load.33064.1,BUS1,PHASE_1,None
0033065,smartmeter,33065,1,100,0.0001667,Load.33065.2,BUS1,PHASE_2,None
0033066,smartmeter,33066,1,100,0.0001667,Load.33066.2,BUS1,PHASE_2,None
0033067,smartmeter,33067,1,100,0.0001667,Load.33067.3,BUS1,PHASE_3,None
0033068,smartmeter,33068,1,100,0.0001667,Load.33068.2,BUS1,PHASE_2,None
0033069,smartmeter,33069,1,100,0.0001667,Load.33069.1,BUS1,PHASE_1,None
0033070,smartmeter,33070,1,100,0.0001667,Load.33070.2,BUS1,PHASE_2,None
0033071,smartmeter,33071,1,100,0.0001667,Load.33071.3,BUS1,PHASE_3,None
0033072,smartmeter,33072,1,100,0.0001667,Load.33072.3,BUS1,PHASE_3,None
0033073,smartmeter,33073,1,100,0.0001667,Load.33073.3,BUS1,PHASE_3,None
0033074,smartmeter,33074,1,100,0.0001667,Load.33074.3,BUS1,PHASE_3,None
0033075,smartmeter,33075,1,100,0.0001667,Load.33075.1,BUS1,PHASE_1,None
0033076,smartmeter,33076,1,100,0.0001667,Load.33076.1,BUS1,PHASE_1,None
0033077,smartmeter,33077,1,100,0.0001667,Load.33077.1,BUS1,PHASE_1,None
0033078,smartmeter,33078,1,100,0.0001667,Load.33078.2,BUS1,PHASE_2,None
0033079,smartmeter,33079,1,100,0.0001667,Load.33079.3,BUS1,PHASE_3,None
0033080,smartmeter,33080,1,100,0.0001667,Load.33080.1,BUS1,PHASE_1,None
0033081,smartmeter,33081,1,100,0.0001667,Load.33081.2,BUS1,PHASE_2,None
0033082,smartmeter,33082,1,100,0.0001667,Load.33082.3,BUS1,PHASE_3,None
0033083,smartmeter,33083,1,100,0.0001667,Load.33083.3,BUS1,PHASE_3,None
0033084,smartmeter,33084,1,100,0.0001667,Load.33084.1,BUS1,PHASE_1,None
0033085,smartmeter,33085,1,100,0.0001667,Load.33085.1,BUS1,PHASE_1,None
0033086,smartmeter,33086,1,100,0.0001667,Load.33086.1,BUS1,PHASE_1,None
0033087,smartmeter,33087,1,100,0.0001667,Load.33087.3,BUS1,PHASE_3,None
0033088,smartmeter,33088,1,100,0.0001667,Load.33088.3,BUS1,PHASE_3,None
0033089,smartmeter,33089,1,100,0.0001667,Load.33089.1,BUS1,PHASE_1,None
0033090,smartmeter,33090,1,100,0.0001667,Load.33090.2,BUS1,PHASE_2,None
0033091,smartmeter,33091,1,100,0.0001667,Load.33091.2,BUS1,PHASE_2,None
0033092,smartmeter,33092,1,100,0.0001667,Load.33092.2,BUS1,PHASE_2,None
0033093,smartmeter,33093,1,100,0.0001667,Load.33093.2,BUS1,PHASE_2,None
0033094,smartmeter,33094,1,100,0.0001667,Load.33094.3,BUS1,PHASE_3,None
0033095,smartmeter,33095,1,100,0.0001667,Load.33095.2,BUS1,PHASE_2,None
0033096,smartmeter,33096,1,100,0.0001667,Load.33096.2,BUS1,PHASE_2,None
0033097,smartmeter,33097,1,100,0.0001667,Load.33097.3,BUS1,PHASE_3,None
0033098,smartmeter,33098,1,100,0.0001667,Load.33098.3,BUS1,PHASE_3,None
0033099,smartmeter,33099,1,100,0.0001667,Load.33099.2,BUS1,PHASE_2,None
0033100,smartmeter,33100,1,100,0.0001667,Load.33100.2,BUS1,PHASE_2,None
0033101,smartmeter,33101,1,100,0.0001667,Load.33101.1,BUS1,PHASE_1,None
0033102,smartmeter,33102,1,100,0.0001667,Load.33102.3,BUS1,PHASE_3,None
0033103,smartmeter,33103,1,100,0.0001667,Load.33103.1,BUS1,PHASE_1,None
0033104,smartmeter,33104,1,100,0.0001667,Load.33104.1,BUS1,PHASE_1,None
0033105,smartmeter,33105,1,100,0.0001667,Load.33105.2,BUS1,PHASE_2,None
0033106,smartmeter,33106,1,100,0.0001667,Load.33106.1,BUS1,PHASE_1,None
0033107,smartmeter,33107,1,100,0.0001667,Load.33107.1,BUS1,PHASE_1,None
0033108,smartmeter,33108,1,100,0.0001667,Load.33108.2,BUS1,PHASE_2,None
0033109,smartmeter,33109,1,100,0.0001667,Load.33109.1,BUS1,PHASE_1,None
0033110,smartmeter,33110,1,100,0.0001667,Load.33110.1,BUS1,PHASE_1,None
