idn,type,src,dst,period,error,cktElement,cktTerminal,cktPhase,cktProperty
001,phasor,1,1,10,0.0001667,line.1-2,BUS1,PHASE_123,None
002,phasor,2,1,10,0.0001667,line.1-2,BUS2,PHASE_123,None
003,phasor,3,1,10,0.0001667,line.2-3,BUS2,PHASE_123,None
004,phasor,4,1,10,0.0001667,line.3-4,BUS2,PHASE_123,None
005,phasor,5,1,10,0.0001667,line.4-5,BUS2,PHASE_123,None
006,phasor,6,1,10,0.0001667,line.5-6,BUS2,PHASE_123,None
007,phasor,7,1,10,0.0001667,line.6-7,BUS2,PHASE_123,None
008,phasor,8,1,10,0.0001667,line.7-8,BUS2,PHASE_123,None
009,phasor,9,1,10,0.0001667,line.8-9,BUS2,PHASE_123,None
0010,phasor,10,1,10,0.0001667,line.9-10,BUS2,PHASE_123,None
0011,phasor,11,1,10,0.0001667,line.10-11,BUS2,PHASE_123,None
0012,phasor,12,1,10,0.0001667,line.11-12,BUS2,PHASE_123,None
0013,phasor,13,1,10,0.0001667,line.12-13,BUS2,PHASE_123,None
0014,phasor,14,1,10,0.0001667,line.13-14,BUS2,PHASE_123,None
0015,phasor,15,1,10,0.0001667,line.14-15,BUS2,PHASE_123,None
0016,phasor,16,1,10,0.0001667,line.15-16,BUS2,PHASE_123,None
0017,phasor,17,1,10,0.0001667,line.16-17,BUS2,PHASE_123,None
0018,phasor,18,1,10,0.0001667,line.17-18,BUS2,PHASE_123,None
0019,phasor,19,1,10,0.0001667,line.2-19,BUS2,PHASE_123,None
0020,phasor,20,1,10,0.0001667,line.19-20,BUS2,PHASE_123,None
0021,phasor,21,1,10,0.0001667,line.20-21,BUS2,PHASE_123,None
0022,phasor,22,1,10,0.0001667,line.21-22,BUS2,PHASE_123,None
0023,phasor,23,1,10,0.0001667,line.3-23,BUS2,PHASE_123,None
0024,phasor,24,1,10,0.0001667,line.23-24,BUS2,PHASE_123,None
0025,phasor,25,1,10,0.0001667,line.24-25,BUS2,PHASE_123,None
0026,phasor,26,1,10,0.0001667,line.6-26,BUS2,PHASE_123,None
0027,phasor,27,1,10,0.0001667,line.26-27,BUS2,PHASE_123,None
0028,phasor,28,1,10,0.0001667,line.27-28,BUS2,PHASE_123,None
0029,phasor,29,1,10,0.0001667,line.28-29,BUS2,PHASE_123,None
0030,phasor,30,1,10,0.0001667,line.29-30,BUS2,PHASE_123,None
0031,phasor,31,1,10,0.0001667,line.30-31,BUS2,PHASE_123,None
0032,phasor,32,1,10,0.0001667,line.31-32,BUS2,PHASE_123,None
0033,phasor,33,1,10,0.0001667,line.32-33,BUS2,PHASE_123,None
