idn,type,src,dst,period,error,cktElement,cktTerminal,cktPhase,cktProperty
001,phasor,1,1,100,0.0001667,line.1-2,BUS1,PHASE_123,None
002,phasor,2,1,100,0.0001667,line.1-2,BUS2,PHASE_123,None
003,phasor,3,1,100,0.0001667,line.2-3,BUS2,PHASE_123,None
004,phasor,4,1,100,0.0001667,line.3-4,BUS2,PHASE_123,None
005,phasor,5,1,100,0.0001667,line.4-5,BUS2,PHASE_123,None
006,phasor,6,1,100,0.0001667,line.5-6,BUS2,PHASE_123,None
007,phasor,7,1,100,0.0001667,line.6-7,BUS2,PHASE_123,None
008,phasor,8,1,100,0.0001667,line.7-8,BUS2,PHASE_123,None
009,phasor,9,1,100,0.0001667,line.8-9,BUS2,PHASE_123,None
0010,phasor,10,1,100,0.0001667,line.9-10,BUS2,PHASE_123,None
0011,phasor,11,1,100,0.0001667,line.10-11,BUS2,PHASE_123,None
0012,phasor,12,1,100,0.0001667,line.11-12,BUS2,PHASE_123,None
0013,phasor,13,1,100,0.0001667,line.12-13,BUS2,PHASE_123,None
0014,phasor,14,1,100,0.0001667,line.13-14,BUS2,PHASE_123,None
0015,phasor,15,1,100,0.0001667,line.14-15,BUS2,PHASE_123,None
0016,phasor,16,1,100,0.0001667,line.15-16,BUS2,PHASE_123,None
0017,phasor,17,1,100,0.0001667,line.16-17,BUS2,PHASE_123,None
0018,phasor,18,1,100,0.0001667,line.17-18,BUS2,PHASE_123,None
0019,phasor,19,1,100,0.0001667,line.2-19,BUS2,PHASE_123,None
0020,phasor,20,1,100,0.0001667,line.19-20,BUS2,PHASE_123,None
0021,phasor,21,1,100,0.0001667,line.20-21,BUS2,PHASE_123,None
0022,phasor,22,1,100,0.0001667,line.21-22,BUS2,PHASE_123,None
0023,phasor,23,1,100,0.0001667,line.3-23,BUS2,PHASE_123,None
0024,phasor,24,1,100,0.0001667,line.23-24,BUS2,PHASE_123,None
0025,phasor,25,1,100,0.0001667,line.24-25,BUS2,PHASE_123,None
0026,phasor,26,1,100,0.0001667,line.6-26,BUS2,PHASE_123,None
0027,phasor,27,1,100,0.0001667,line.26-27,BUS2,PHASE_123,None
0028,phasor,28,1,100,0.0001667,line.27-28,BUS2,PHASE_123,None
0029,phasor,29,1,100,0.0001667,line.28-29,BUS2,PHASE_123,None
0030,phasor,30,1,100,0.0001667,line.29-30,BUS2,PHASE_123,None
0031,phasor,31,1,100,0.0001667,line.30-31,BUS2,PHASE_123,None
0032,phasor,32,1,100,0.0001667,line.31-32,BUS2,PHASE_123,None
0033,phasor,33,1,100,0.0001667,line.32-33,BUS2,PHASE_123,None
002056,smartmeter,2056,1,100,0.0001667,Load.2056.1,BUS1,PHASE_1,None
002057,smartmeter,2057,1,100,0.0001667,Load.2057.2,BUS1,PHASE_2,None
002058,smartmeter,2058,1,100,0.0001667,Load.2058.1,BUS1,PHASE_1,None
002059,smartmeter,2059,1,100,0.0001667,Load.2059.1,BUS1,PHASE_1,None
002060,smartmeter,2060,1,100,0.0001667,Load.2060.1,BUS1,PHASE_1,None
002061,smartmeter,2061,1,100,0.0001667,Load.2061.2,BUS1,PHASE_2,None
002062,smartmeter,2062,1,100,0.0001667,Load.2062.2,BUS1,PHASE_2,None
002063,smartmeter,2063,1,100,0.0001667,Load.2063.3,BUS1,PHASE_3,None
002064,smartmeter,2064,1,100,0.0001667,Load.2064.1,BUS1,PHASE_1,None
002065,smartmeter,2065,1,100,0.0001667,Load.2065.2,BUS1,PHASE_2,None
002066,smartmeter,2066,1,100,0.0001667,Load.2066.2,BUS1,PHASE_2,None
002067,smartmeter,2067,1,100,0.0001667,Load.2067.3,BUS1,PHASE_3,None
002068,smartmeter,2068,1,100,0.0001667,Load.2068.2,BUS1,PHASE_2,None
002069,smartmeter,2069,1,100,0.0001667,Load.2069.1,BUS1,PHASE_1,None
002070,smartmeter,2070,1,100,0.0001667,Load.2070.2,BUS1,PHASE_2,None
002071,smartmeter,2071,1,100,0.0001667,Load.2071.3,BUS1,PHASE_3,None
002072,smartmeter,2072,1,100,0.0001667,Load.2072.3,BUS1,PHASE_3,None
