type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
Phasor,1,,0,0,20,1.667e-05,Line.1-2,BUS1,PHASE_123,None
Phasor,2,,0,0,20,1.667e-05,Line.1-2,BUS2,PHASE_123,None
Phasor,3,,0,0,20,1.667e-05,Line.2-3,BUS2,PHASE_123,None
Phasor,4,,0,0,20,1.667e-05,Line.3-4,BUS2,PHASE_123,None
Phasor,5,,0,0,20,1.667e-05,Line.4-5,BUS2,PHASE_123,None
Phasor,6,,0,0,20,1.667e-05,Line.5-6,BUS2,PHASE_123,None
Phasor,7,,0,0,20,1.667e-05,Line.6-7,BUS2,PHASE_123,None
Phasor,8,,0,0,20,1.667e-05,Line.7-8,BUS2,PHASE_123,None
Phasor,9,,0,0,20,1.667e-05,Line.8-9,BUS2,PHASE_123,None
Phasor,10,,0,0,20,1.667e-05,Line.9-10,BUS2,PHASE_123,None
Phasor,11,,0,0,20,1.667e-05,Line.10-11,BUS2,PHASE_123,None
Phasor,12,,0,0,20,1.667e-05,Line.11-12,BUS2,PHASE_123,None
Phasor,13,,0,0,20,1.667e-05,Line.12-13,BUS2,PHASE_123,None
Phasor,14,,0,0,20,1.667e-05,Line.13-14,BUS2,PHASE_123,None
Phasor,15,,0,0,20,1.667e-05,Line.14-15,BUS2,PHASE_123,None
Phasor,16,,0,0,20,1.667e-05,Line.15-16,BUS2,PHASE_123,None
Phasor,17,,0,0,20,1.667e-05,Line.16-17,BUS2,PHASE_123,None
Phasor,18,,0,0,20,1.667e-05,Line.17-18,BUS2,PHASE_123,None
Phasor,19,,0,0,20,1.667e-05,Line.2-19,BUS2,PHASE_123,None
Phasor,20,,0,0,20,1.667e-05,Line.19-20,BUS2,PHASE_123,None
Phasor,21,,0,0,20,1.667e-05,Line.20-21,BUS2,PHASE_123,None
Phasor,22,,0,0,20,1.667e-05,Line.21-22,BUS2,PHASE_123,None
Phasor,23,,0,0,20,1.667e-05,Line.3-23,BUS2,PHASE_123,None
Phasor,24,,0,0,20,1.667e-05,Line.23-24,BUS2,PHASE_123,None
Phasor,25,,0,0,20,1.667e-05,Line.24-25,BUS2,PHASE_123,None
Phasor,26,,0,0,20,1.667e-05,Line.6-26,BUS2,PHASE_123,None
Phasor,27,,0,0,20,1.667e-05,Line.26-27,BUS2,PHASE_123,None
Phasor,28,,0,0,20,1.667e-05,Line.27-28,BUS2,PHASE_123,None
Phasor,29,,0,0,20,1.667e-05,Line.28-29,BUS2,PHASE_123,None
Phasor,30,,0,0,20,1.667e-05,Line.29-30,BUS2,PHASE_123,None
Phasor,31,,0,0,20,1.667e-05,Line.30-31,BUS2,PHASE_123,None
Phasor,32,,0,0,20,1.667e-05,Line.31-32,BUS2,PHASE_123,None
Phasor,33,,0,0,20,1.667e-05,Line.32-33,BUS2,PHASE_123,None
SmartMeter,2056,,0,0,20,1.667e-05,Load.2056,BUS1,PHASE_1,None
SmartMeter,2057,,0,0,20,1.667e-05,Load.2057,BUS1,PHASE_2,None
SmartMeter,2058,,0,0,20,1.667e-05,Load.2058,BUS1,PHASE_1,None
SmartMeter,2059,,0,0,20,1.667e-05,Load.2059,BUS1,PHASE_1,None
SmartMeter,2060,,0,0,20,1.667e-05,Load.2060,BUS1,PHASE_1,None
SmartMeter,2061,,0,0,20,1.667e-05,Load.2061,BUS1,PHASE_2,None
SmartMeter,2062,,0,0,20,1.667e-05,Load.2062,BUS1,PHASE_2,None
SmartMeter,2063,,0,0,20,1.667e-05,Load.2063,BUS1,PHASE_3,None
SmartMeter,2064,,0,0,20,1.667e-05,Load.2064,BUS1,PHASE_1,None
SmartMeter,2065,,0,0,20,1.667e-05,Load.2065,BUS1,PHASE_2,None
SmartMeter,2066,,0,0,20,1.667e-05,Load.2066,BUS1,PHASE_2,None
SmartMeter,2067,,0,0,20,1.667e-05,Load.2067,BUS1,PHASE_3,None
SmartMeter,2068,,0,0,20,1.667e-05,Load.2068,BUS1,PHASE_2,None
SmartMeter,2069,,0,0,20,1.667e-05,Load.2069,BUS1,PHASE_1,None
SmartMeter,2070,,0,0,20,1.667e-05,Load.2070,BUS1,PHASE_2,None
SmartMeter,2071,,0,0,20,1.667e-05,Load.2071,BUS1,PHASE_3,None
SmartMeter,2072,,0,0,20,1.667e-05,Load.2072,BUS1,PHASE_3,None
SmartMeter,2073,,0,0,20,1.667e-05,Load.2073,BUS1,PHASE_3,None
SmartMeter,2074,,0,0,20,1.667e-05,Load.2074,BUS1,PHASE_3,None
SmartMeter,2075,,0,0,20,1.667e-05,Load.2075,BUS1,PHASE_1,None
SmartMeter,2076,,0,0,20,1.667e-05,Load.2076,BUS1,PHASE_1,None
SmartMeter,2077,,0,0,20,1.667e-05,Load.2077,BUS1,PHASE_1,None
SmartMeter,2078,,0,0,20,1.667e-05,Load.2078,BUS1,PHASE_2,None
SmartMeter,2079,,0,0,20,1.667e-05,Load.2079,BUS1,PHASE_3,None
SmartMeter,2080,,0,0,20,1.667e-05,Load.2080,BUS1,PHASE_1,None
SmartMeter,2081,,0,0,20,1.667e-05,Load.2081,BUS1,PHASE_2,None
SmartMeter,2082,,0,0,20,1.667e-05,Load.2082,BUS1,PHASE_3,None
SmartMeter,2083,,0,0,20,1.667e-05,Load.2083,BUS1,PHASE_3,None
SmartMeter,2084,,0,0,20,1.667e-05,Load.2084,BUS1,PHASE_1,None
SmartMeter,2085,,0,0,20,1.667e-05,Load.2085,BUS1,PHASE_1,None
SmartMeter,2086,,0,0,20,1.667e-05,Load.2086,BUS1,PHASE_1,None
SmartMeter,2087,,0,0,20,1.667e-05,Load.2087,BUS1,PHASE_3,None
SmartMeter,2088,,0,0,20,1.667e-05,Load.2088,BUS1,PHASE_3,None
SmartMeter,2089,,0,0,20,1.667e-05,Load.2089,BUS1,PHASE_1,None
SmartMeter,2090,,0,0,20,1.667e-05,Load.2090,BUS1,PHASE_2,None
SmartMeter,2091,,0,0,20,1.667e-05,Load.2091,BUS1,PHASE_2,None
SmartMeter,2092,,0,0,20,1.667e-05,Load.2092,BUS1,PHASE_2,None
SmartMeter,2093,,0,0,20,1.667e-05,Load.2093,BUS1,PHASE_2,None
SmartMeter,2094,,0,0,20,1.667e-05,Load.2094,BUS1,PHASE_3,None
SmartMeter,2095,,0,0,20,1.667e-05,Load.2095,BUS1,PHASE_2,None
SmartMeter,2096,,0,0,20,1.667e-05,Load.2096,BUS1,PHASE_2,None
SmartMeter,2097,,0,0,20,1.667e-05,Load.2097,BUS1,PHASE_3,None
SmartMeter,2098,,0,0,20,1.667e-05,Load.2098,BUS1,PHASE_3,None
SmartMeter,2099,,0,0,20,1.667e-05,Load.2099,BUS1,PHASE_2,None
SmartMeter,2100,,0,0,20,1.667e-05,Load.2100,BUS1,PHASE_2,None
SmartMeter,2101,,0,0,20,1.667e-05,Load.2101,BUS1,PHASE_1,None
SmartMeter,2102,,0,0,20,1.667e-05,Load.2102,BUS1,PHASE_3,None
SmartMeter,2103,,0,0,20,1.667e-05,Load.2103,BUS1,PHASE_1,None
SmartMeter,2104,,0,0,20,1.667e-05,Load.2104,BUS1,PHASE_1,None
SmartMeter,2105,,0,0,20,1.667e-05,Load.2105,BUS1,PHASE_2,None
SmartMeter,2106,,0,0,20,1.667e-05,Load.2106,BUS1,PHASE_1,None
SmartMeter,2107,,0,0,20,1.667e-05,Load.2107,BUS1,PHASE_1,None
SmartMeter,2108,,0,0,20,1.667e-05,Load.2108,BUS1,PHASE_2,None
SmartMeter,2109,,0,0,20,1.667e-05,Load.2109,BUS1,PHASE_1,None
SmartMeter,2110,,0,0,20,1.667e-05,Load.2110,BUS1,PHASE_1,None
SmartMeter,3056,,0,0,20,1.667e-05,Load.3056,BUS1,PHASE_1,None
SmartMeter,3057,,0,0,20,1.667e-05,Load.3057,BUS1,PHASE_2,None
SmartMeter,3058,,0,0,20,1.667e-05,Load.3058,BUS1,PHASE_1,None
SmartMeter,3059,,0,0,20,1.667e-05,Load.3059,BUS1,PHASE_1,None
SmartMeter,3060,,0,0,20,1.667e-05,Load.3060,BUS1,PHASE_1,None
SmartMeter,3061,,0,0,20,1.667e-05,Load.3061,BUS1,PHASE_2,None
SmartMeter,3062,,0,0,20,1.667e-05,Load.3062,BUS1,PHASE_2,None
SmartMeter,3063,,0,0,20,1.667e-05,Load.3063,BUS1,PHASE_3,None
SmartMeter,3064,,0,0,20,1.667e-05,Load.3064,BUS1,PHASE_1,None
SmartMeter,3065,,0,0,20,1.667e-05,Load.3065,BUS1,PHASE_2,None
SmartMeter,3066,,0,0,20,1.667e-05,Load.3066,BUS1,PHASE_2,None
SmartMeter,3067,,0,0,20,1.667e-05,Load.3067,BUS1,PHASE_3,None
SmartMeter,3068,,0,0,20,1.667e-05,Load.3068,BUS1,PHASE_2,None
SmartMeter,3069,,0,0,20,1.667e-05,Load.3069,BUS1,PHASE_1,None
SmartMeter,3070,,0,0,20,1.667e-05,Load.3070,BUS1,PHASE_2,None
SmartMeter,3071,,0,0,20,1.667e-05,Load.3071,BUS1,PHASE_3,None
SmartMeter,3072,,0,0,20,1.667e-05,Load.3072,BUS1,PHASE_3,None
SmartMeter,3073,,0,0,20,1.667e-05,Load.3073,BUS1,PHASE_3,None
