type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
Phasor,1,1,0,0,2000,1.667e-05,Line.1-2,BUS1,PHASE_123,None
Phasor,2,1,0,0,2000,1.667e-05,Line.1-2,BUS2,PHASE_123,None
Phasor,3,1,0,0,2000,1.667e-05,Line.2-3,BUS2,PHASE_123,None
Phasor,4,1,0,0,2000,1.667e-05,Line.3-4,BUS2,PHASE_123,None
Phasor,5,1,0,0,2000,1.667e-05,Line.4-5,BUS2,PHASE_123,None
Phasor,6,1,0,0,2000,1.667e-05,Line.5-6,BUS2,PHASE_123,None
Phasor,7,1,0,0,2000,1.667e-05,Line.6-7,BUS2,PHASE_123,None
Phasor,8,1,0,0,2000,1.667e-05,Line.7-8,BUS2,PHASE_123,None
Phasor,9,1,0,0,2000,1.667e-05,Line.8-9,BUS2,PHASE_123,None
Phasor,10,1,0,0,2000,1.667e-05,Line.9-10,BUS2,PHASE_123,None
Phasor,11,1,0,0,2000,1.667e-05,Line.10-11,BUS2,PHASE_123,None
Phasor,12,1,0,0,2000,1.667e-05,Line.11-12,BUS2,PHASE_123,None
Phasor,13,1,0,0,2000,1.667e-05,Line.12-13,BUS2,PHASE_123,None
Phasor,14,1,0,0,2000,1.667e-05,Line.13-14,BUS2,PHASE_123,None
Phasor,15,1,0,0,2000,1.667e-05,Line.14-15,BUS2,PHASE_123,None
Phasor,16,1,0,0,2000,1.667e-05,Line.15-16,BUS2,PHASE_123,None
Phasor,17,1,0,0,2000,1.667e-05,Line.16-17,BUS2,PHASE_123,None
Phasor,18,1,0,0,2000,1.667e-05,Line.17-18,BUS2,PHASE_123,None
Phasor,19,1,0,0,2000,1.667e-05,Line.2-19,BUS2,PHASE_123,None
Phasor,20,1,0,0,2000,1.667e-05,Line.19-20,BUS2,PHASE_123,None
Phasor,21,1,0,0,2000,1.667e-05,Line.20-21,BUS2,PHASE_123,None
Phasor,22,1,0,0,2000,1.667e-05,Line.21-22,BUS2,PHASE_123,None
Phasor,23,1,0,0,2000,1.667e-05,Line.3-23,BUS2,PHASE_123,None
Phasor,24,1,0,0,2000,1.667e-05,Line.23-24,BUS2,PHASE_123,None
Phasor,25,1,0,0,2000,1.667e-05,Line.24-25,BUS2,PHASE_123,None
Phasor,26,1,0,0,2000,1.667e-05,Line.6-26,BUS2,PHASE_123,None
Phasor,27,1,0,0,2000,1.667e-05,Line.26-27,BUS2,PHASE_123,None
Phasor,28,1,0,0,2000,1.667e-05,Line.27-28,BUS2,PHASE_123,None
Phasor,29,1,0,0,2000,1.667e-05,Line.28-29,BUS2,PHASE_123,None
Phasor,30,1,0,0,2000,1.667e-05,Line.29-30,BUS2,PHASE_123,None
Phasor,31,1,0,0,2000,1.667e-05,Line.30-31,BUS2,PHASE_123,None
Phasor,32,1,0,0,2000,1.667e-05,Line.31-32,BUS2,PHASE_123,None
Phasor,33,1,0,0,2000,1.667e-05,Line.32-33,BUS2,PHASE_123,None
SmartMeter,2056,1,0,0,15000,1.667e-05,Load.2056,BUS1,PHASE_1,None
SmartMeter,2057,1,0,0,15000,1.667e-05,Load.2057,BUS1,PHASE_2,None
SmartMeter,2058,1,0,0,15000,1.667e-05,Load.2058,BUS1,PHASE_1,None
SmartMeter,2059,1,0,0,15000,1.667e-05,Load.2059,BUS1,PHASE_1,None
SmartMeter,2060,1,0,0,15000,1.667e-05,Load.2060,BUS1,PHASE_1,None
SmartMeter,2061,1,0,0,15000,1.667e-05,Load.2061,BUS1,PHASE_2,None
SmartMeter,2062,1,0,0,15000,1.667e-05,Load.2062,BUS1,PHASE_2,None
SmartMeter,2063,1,0,0,15000,1.667e-05,Load.2063,BUS1,PHASE_3,None
SmartMeter,2064,1,0,0,15000,1.667e-05,Load.2064,BUS1,PHASE_1,None
SmartMeter,2065,1,0,0,15000,1.667e-05,Load.2065,BUS1,PHASE_2,None
SmartMeter,2066,1,0,0,15000,1.667e-05,Load.2066,BUS1,PHASE_2,None
SmartMeter,2067,1,0,0,15000,1.667e-05,Load.2067,BUS1,PHASE_3,None
SmartMeter,2068,1,0,0,15000,1.667e-05,Load.2068,BUS1,PHASE_2,None
SmartMeter,2069,1,0,0,15000,1.667e-05,Load.2069,BUS1,PHASE_1,None
SmartMeter,2070,1,0,0,15000,1.667e-05,Load.2070,BUS1,PHASE_2,None
SmartMeter,2071,1,0,0,15000,1.667e-05,Load.2071,BUS1,PHASE_3,None
SmartMeter,2072,1,0,0,15000,1.667e-05,Load.2072,BUS1,PHASE_3,None
SmartMeter,2073,1,0,0,15000,1.667e-05,Load.2073,BUS1,PHASE_3,None
SmartMeter,2074,1,0,0,15000,1.667e-05,Load.2074,BUS1,PHASE_3,None
SmartMeter,2075,1,0,0,15000,1.667e-05,Load.2075,BUS1,PHASE_1,None
SmartMeter,2076,1,0,0,15000,1.667e-05,Load.2076,BUS1,PHASE_1,None
SmartMeter,2077,1,0,0,15000,1.667e-05,Load.2077,BUS1,PHASE_1,None
SmartMeter,2078,1,0,0,15000,1.667e-05,Load.2078,BUS1,PHASE_2,None
SmartMeter,2079,1,0,0,15000,1.667e-05,Load.2079,BUS1,PHASE_3,None
SmartMeter,2080,1,0,0,15000,1.667e-05,Load.2080,BUS1,PHASE_1,None
SmartMeter,2081,1,0,0,15000,1.667e-05,Load.2081,BUS1,PHASE_2,None
SmartMeter,2082,1,0,0,15000,1.667e-05,Load.2082,BUS1,PHASE_3,None
SmartMeter,2083,1,0,0,15000,1.667e-05,Load.2083,BUS1,PHASE_3,None
SmartMeter,2084,1,0,0,15000,1.667e-05,Load.2084,BUS1,PHASE_1,None
SmartMeter,2085,1,0,0,15000,1.667e-05,Load.2085,BUS1,PHASE_1,None
SmartMeter,2086,1,0,0,15000,1.667e-05,Load.2086,BUS1,PHASE_1,None
SmartMeter,2087,1,0,0,15000,1.667e-05,Load.2087,BUS1,PHASE_3,None
SmartMeter,2088,1,0,0,15000,1.667e-05,Load.2088,BUS1,PHASE_3,None
SmartMeter,2089,1,0,0,15000,1.667e-05,Load.2089,BUS1,PHASE_1,None
SmartMeter,2090,1,0,0,15000,1.667e-05,Load.2090,BUS1,PHASE_2,None
SmartMeter,2091,1,0,0,15000,1.667e-05,Load.2091,BUS1,PHASE_2,None
SmartMeter,2092,1,0,0,15000,1.667e-05,Load.2092,BUS1,PHASE_2,None
SmartMeter,2093,1,0,0,15000,1.667e-05,Load.2093,BUS1,PHASE_2,None
SmartMeter,2094,1,0,0,15000,1.667e-05,Load.2094,BUS1,PHASE_3,None
SmartMeter,2095,1,0,0,15000,1.667e-05,Load.2095,BUS1,PHASE_2,None
SmartMeter,2096,1,0,0,15000,1.667e-05,Load.2096,BUS1,PHASE_2,None
